Network Reference ID,Parent Network Reference ID,Substation Name,Substation Number,Asset Type,Latitude,Longitude,Bulk Supply Point Name,Primary Substation
315061,314637,Donnington 33/11kv,840010,Primary,52.7263,-2.4339,Ketley 132 33,Donnington 33 11
302497,94,Dorchester St - New,164170,Primary,51.3776,-2.3584,BATH (DOLEMEADS) 33kV,DORCHESTER STREET 6.6kV
315123,420020,Dothill 33/11kv,840019,Primary,52.7166,-2.5345,Ketley 132 33,Dothill 33 11
245387,245421,Dowlais Grid,550012,BSP,51.7737,-3.347,,DOWLAIS 33kV
15139,91,Dowlish Ford,250350,Primary,50.9148,-2.9149,WOODCOTE 33kV BAR,DOWLISH FORD 11kV
315229,314700,Dowsby Fen 33/11kv,910025,Primary,52.8487,-0.2762,Bourne,Dowsby Fen
314550,,Drakelow 275/132kv,680005,GSP,52.7731,-1.6494,,
15281,5,Drinnick.,437370,Primary,50.362,-4.8753,FRADDON 33kV 'J' BAR,DRINNICK 11KV
315035,314815,Droitwich 66/11kv,670115,Primary,52.2738,-2.1707,Stourport 132 66 & Upton Warren 132 66,Droitwich 66 11
314917,314635,Dudbridge 33/11kv,790009,Primary,51.7401,-2.2384,Ryeford 132 33,Dudbridge 33 11
15205,67,Dunkeswell 33/11kv,310057,Primary,50.8561,-3.2175,TIVERTON 33kV,DUNKESWELL 11kV
314852,314586,Dunlop 33/6.6kv,930039,Primary,52.4371,-1.5124,Coventry Central,Dunlop 6.6
315295,314635,Dursley 33/11kv,790021,Primary,51.6905,-2.348,Ryeford 132 33,Dursley 33 11
315389,314601,Dymock 66/11kv,670143,Primary,51.9703,-2.4495,Hereford (Bishops Wood) & Ludlow 132 66,Dymock 66 11
314933,314660,Eagle Centre 33/11kv,870015,Primary,52.9195,-1.4716,Derby 33,Eagle Centre
315337,314739,Earls Barton 33 11kv S Stn,940053,Primary,52.2625,-0.7605,Northampton East,Earls Barton
315358,314737,Earlstrees 33 11kv S Stn,920052,Primary,52.5108,-0.6969,Corby,Earlstrees
245415,245414,East Aberthaw Primary,510059,BSP,51.3964,-3.3888,,EAST ABERTHAW 33kV
252484,245415,East Aberthaw Primary,510059,Primary,51.3964,-3.3888,,EAST ABERTHAW 11kV
15098,87,East Brent,181425,Primary,51.277,-2.9297,WESTON 33kV,EAST BRENT 11kV
15195,59,East Budleigh,310040,Primary,50.6561,-3.3284,EXMOUTH 33kV,EAST BUDLEIGH 11kV
15133,135607,East Chinnock Primary,250290,Primary,50.9155,-2.7256,YEOVIL 33kV,EAST CHINNOCK 11kV
490619,,East Claydon 132kv S Stn,690061,GSP,51.9271,-0.9074,,
15233,22,East Curry,350015,Primary,50.7117,-4.4219,PYWORTHY 33kV,EAST CURRY 11KV
314975,314623,East Leake 33/11kv,880023,Primary,52.8434,-1.1816,Willoughby,East Leake
17,132,East Yelland Bsp,260465,BSP,51.0681,-4.1716,East Yelland 33 kV,EAST YELLAND 33KV
315054,314638,Easthope 33/11kv,840008,Primary,52.552,-2.637,Ironbridge 132 33,Easthope 33 11
315245,314689,Easton 33/11kv,910041,Primary,52.8277,-0.6075,Grantham,Easton
